,unnamed,Text,label,intensity
33,33, Since the 'update' my iPhone loses power nearly 40% faster.,anger,0.792
34,34, bringyouhome2 I'm about to fly into a fit of rage it's not,anger,0.792
35,35, Unbelievable takes 10 minutes to get through to BarclaysUK then there's a fault and the call hangs up,anger,0.792
36,36, ggreenwald SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are,anger,0.792
37,37, SunandBeachBum 'you people' infuriate,anger,0.792
38,38, rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male,anger,0.792
39,39, So about my WishShopping order. 6 ago I placed an order of over $500. Card billed. Never,anger,0.771
40,40, Still can't log into my fucking,anger,0.9
41,41, ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!!,anger,0.771
42,42," SOMEONE LET SNAKES IN MY HOUSE, I BET IT Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM",anger,0.771
43,43, so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep,anger,0.771
44,44," Why does dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for",anger,0.733
45,45, i feel,anger,0.771
46,46, Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare allllat,anger,0.771
47,47, Still can't log into my fucking Snapchat,anger,0.771
48,48, I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance!,anger,0.771
49,49, People irritate my MF,anger,0.771
50,50, Im so angry,anger,0.75
51,51, People fuckin irritate,anger,0.75
52,52," leesyatt you are a cruel, cruel man.",anger,0.84
53,53, That way ur so angry you can literally feel ur blood,anger,0.75
54,54, KatzeAnilothei this amount of greedy mooching makes me,anger,0.75
55,55, My mind is raging and i just want to end it,anger,0.75
56,56, Absolutely fuming that some woman jumped into my prebooked taxi and drove off,anger,0.75
57,57, I'm nothing but a hateful and bitter,anger,0.75
58,58, FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!,anger,0.75
59,59, JrDingy96 Ikr people still got a grudge against him for no reason like,anger,0.75
60,60, lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help!,anger,0.75
61,61, paulbushnell25 EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone,anger,0.844
62,62, So angry I wanna,anger,0.75
63,63, OOOOOOOOH MY GOD,anger,0.75
64,64, Boycotting DunkinDonuts till butter pecan comes back. I am,anger,0.75
65,65," In 2016, Black people are STILL fighting to be recognized as human beings.",anger,0.885
66,66, my mom cut my phone off and I'm so furious,anger,0.75
67,67, Once again the only thing on my feed is naay raging about something and my brother filling in all the,anger,0.75
68,68, can't believe Achilles killed me!,anger,0.75
69,69, I lost a couple niggas I want revenge so put me in,anger,0.875
70,70, mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you,anger,0.75
71,71, Where's your outrage when a black man kills another black man in the,anger,0.75
72,72, it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen,anger,0.75
73,73, Absolutely fuming I've just scratched all my car,anger,0.75
74,74, Ms_HeartAttack holy shit it just a bee sting like fuck you're not,anger,0.553
75,75, How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.,anger,0.729
76,76, I dislike people who get offended by the littlest shit,anger,0.729
77,77," What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work",anger,0.729
78,78," justyne_haley it does. if one person ruins season 13 for me, I will be so",anger,0.729
79,79," What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work",anger,0.729
80,80, firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work,anger,0.864
81,81, So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out,anger,0.729
82,82," The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on",anger,0.863
83,83, Just paid for chicken at panerabread and didn't even get any there goes 4 dollars and me as a customer,anger,0.729
84,84, but that was a mistake and a half assed excuse and now here i am burning in hell,anger,0.729
85,85, ManUtd you have had from me over the years is irrelevant. Its an absolute joke.,anger,0.873
86,86, hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! coopuk,anger,0.538
87,87," Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!",anger,0.729
88,88, Bes! You don't just tell a true blooded hoopjunkie to switch a f*cn' team that juz destroyed your own team. You juz,anger,0.729
89,89, ChurdAllan fucked my coupon that goal!,anger,0.729
90,90, LVG bribed all the refs against Utd for his own personal revenge. That was a foul you,anger,0.729
91,91," Now that the whole clown rage has scared me shitless, I'm gonna go cry in my",anger,0.729
92,92, Worst juror ever? Michelle. You were Nicole's biggest threat.,anger,0.729
93,93, Your twitter picture just makes me,anger,0.729
94,94," leesyatt you are a cruel, cruel man.",anger,0.775
95,95," That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that",anger,0.867
96,96," NeoFundie fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next",anger,0.831
97,97, FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!,anger,0.708
98,98, I wonder what American city will be next to protest about police shootings. Who's next? Smh.,anger,0.708
99,99, politico realDonaldTrump another angry white,anger,0.708
100,100, Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES,anger,0.759
101,101," The majority of people irritate the fuck out of me, cba with people",anger,0.862
102,102, oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter,anger,0.708
103,103, Wont use using mothercareuk Mothercarehelp again!! These guys cant get nothing,anger,0.708
104,104, kingvee_ don't provoke me to,anger,0.708
105,105, You complain all the time and then wonder why people never want to see you. You acc rile me up.,anger,0.708
106,106, Bloods,anger,0.708
107,107," Leave it on there, rule,nimber 1 of carpet cleaning!!!",anger,0.708
108,108, DarkLuneFantasy wallah my blood is boiling I need to take a nap,anger,0.817
109,109, I swear if devincameron23 blocks me I'm going to hit her,anger,0.708
110,110," jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go",anger,0.708
111,111, I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit.,anger,0.708
112,112, I'm just a fuming ball of anger today,anger,0.708
113,113, I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by,anger,0.75
114,114, VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA,anger,0.688
115,115, A FirstBSA not turning up? Why am I not surprised. Late for work again!,anger,0.688
116,116, Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong. ORConservative,anger,0.688
117,117, angry,anger,0.688
118,118, ... flat party and I instantly get bollocked about it.,anger,0.69
119,119, XemitSellsMagic add tracking but resent,anger,0.688
120,120, FoxNews SheriffClarke FoxNewsInsider This man is an affront to our justice,anger,0.688
121,121," SOMEONE LET SNAKES IN MY HOUSE, I BET IT Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM",anger,0.764
122,122," ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an",anger,0.688
123,123, GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. This is a joke.Let em destroy their,anger,0.688
124,124, ..... wakes up and says 'have you tried changing her nappy?',anger,0.688
125,125, Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes.,anger,0.688
126,126, brian5or6 turn that shit off! Home Button under Accessibility. When did innovation become mind fuckery? .,anger,0.688
127,127, I just love it when people make plans for me without actually including me in this process,anger,0.688
128,128," ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts.",anger,0.688
129,129," brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support",anger,0.766
130,130, edquinn63 how can you even forget to pick ur fave child up from school,anger,0.688
131,131, I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster,anger,0.688
132,132, soyoprincess they irritate me. Them and their inch thick made up,anger,0.667
133,133, ChurdAllan fucked my coupon that,anger,0.667
134,134, How was Natalie one of the top three favorites?! and,anger,0.667
135,135, dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and,anger,0.667
136,136, gerfingerpoken The said MANY times to explain away the brutal killings of by,anger,0.667
137,137," To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.'",anger,0.578
138,138, ..... wakes up and says 'have you tried changing her nappy?',anger,0.667
139,139, ManUtd you have had from me over the years is irrelevant. Its an absolute joke.,anger,0.667
140,140, All hell is breaking loose in Charlotte.,anger,0.667
141,141, There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me RamatsobaneM will,anger,0.667
142,142, i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN,anger,0.667
143,143, testing,anger,0.667
144,144, WatcherDev WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks,anger,0.667
145,145, How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off.,anger,0.833
146,146, i was,anger,0.667
147,147, That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave.,anger,0.667
148,148, cineworld 'Congratulations your Free 1 month has been activated' Then charges Â£34.80 the same month. Absolutely furious,anger,0.667
149,149, tmz HarveyLevinTMZ Hell hath no fury like a women scorned. It's the affair. Not the,anger,0.667
150,150, straight people are canoodling on the quad and I'm,anger,0.648
151,151," I can definitely feel my irritation today, lord give me",anger,0.667
152,152, RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet,anger,0.646
153,153, When you break a record in I wish it didn't say the same shit after every rush like you just broke the record.,anger,0.812
154,154, DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas!,anger,0.646
155,155, I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America. They're poor refugees!,anger,0.646
156,156, oreillyfactor why dont want when its black on black crime? They only and cry when its a,anger,0.646
157,157, mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi,anger,0.646
158,158, Zero help from ups customer service. Just pushing the buck back and forth and promising callbacks that don't happen.,anger,0.646
159,159," mdivincenzo9 he's stupid, I hate him lol",anger,0.646
160,160, SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer,anger,0.646
161,161," Slippus PureGym yeah I received a fine today which I am furious about, currently appealing it after being a member for so",anger,0.646
162,162, People irritate me,anger,0.646
163,163, Men in rage strike those that wish them best.,anger,0.646
164,164," In 2016, Black people are STILL fighting to be recognized as human beings.",anger,0.646
165,165, I swear if devincameron23 blocks me I'm going to hit her back,anger,0.646
166,166, SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer,anger,0.646
167,167, RealBD_ ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the,anger,0.646
168,168," bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3",anger,0.646
169,169, Does she really need to pout all the time - getting on my nerves,anger,0.646
170,170, Ever put your fist through your laptops screen? If so its time for a new one lmao,anger,0.646
171,171, snowangel415 cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he his clothes were always perfect also put me off,anger,0.646
172,172," Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti",anger,0.646
173,173," VanDashNessa taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there,",anger,0.556
174,174, Disneyland and still the some your,anger,0.646
175,175, Forgot to eat dinner and now I'm furious with everything and,anger,0.646
176,176, the girl sitting in front of me is chewing her gum like a cow im ready to snap,anger,0.646
177,177," sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected",anger,0.69
178,178, Can someone make me a priority list of which things I should be outraged at + in which order?,anger,0.646
179,179, VodafoneUKhelp VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!!,anger,0.646
180,180, You a fuck boy if you run drag routes back to back in,anger,0.646
181,181, I got fever highs I got boiling,anger,0.646
182,182, canada4trumpnow donlemon he has BAD TEMPERAMENT,anger,0.646
183,183, I can't even right now,anger,0.646
184,184," Daniel_Sankey hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS!",anger,0.472
185,185, Why are people that don't have iPhones so bitter about iPhones???? Can someone,anger,0.625
186,186, RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's,anger,0.625
187,187, deshbhakthoon always unhappy and easily,anger,0.531
188,188," SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch",anger,0.625
189,189, All hell is breaking loose in Charlotte.,anger,0.625
190,190, When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us __KirstyGA,anger,0.625
191,191, Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible,anger,0.625
192,192, Not giving a fuck is better than,anger,0.625
193,193, winksahoy we about to get shit on by the wrath of winter out of,anger,0.625
194,194, GrxjicTank WHY though! Why did u want to offend,anger,0.625
195,195, RealBD_ ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres,anger,0.625
196,196, CI I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers.,anger,0.625
197,197, DPD_UK I asked for my parcel to be delivered to a pick up store not my address,anger,0.625
198,198, Thought the Xbox one s madden bundle would come with a physical copy of madden not a it's gonna take fucking forever to download,anger,0.625
199,199, canada4trumpnow donlemon he has BAD TEMPERAMENT,anger,0.625
200,200, is so for satan to test by the of,anger,0.543
201,201, The new gun emoji in iOS10 is not enough to show the anger I have towards a number of,anger,0.625
202,202, BigBrother__USA she is just jealous and a cry baby!,anger,0.571
203,203, I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on,anger,0.625
204,204, Forever angry that gh ruined Molly and morgan's bond/friendship,anger,0.625
205,205, Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of,anger,0.625
206,206, sueblue35 nsoz7 immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living.,anger,0.625
207,207, Can't believe I've only got 2 days off left,anger,0.625
208,208, Austin4evaLEEDS,anger,0.625
209,209, Taking a break from the to at the general of certain on the,anger,0.625
210,210, Ever put your fist through your laptops screen? If so its time for a new one lmao,anger,0.625
211,211, â€¢My brother grabbed me in a aggressive manner and as always ImpetuousFiend threw tantrums like a kid only knowing how to express,anger,0.625
212,212," Don't join BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc",anger,0.604
213,213," Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of",anger,0.604
214,214," People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain stress.We need a",anger,0.604
215,215, I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different.,anger,0.604
216,216, I don't talk about politics because people nowadays get offended,anger,0.479
217,217, MannyM83 DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one,anger,0.468
218,218," AskPS_UK not received verification email, asked for it to be resent 5 times still",anger,0.604
219,219, Unbelievable takes 10 minutes to get through to BarclaysUK then there's a fault and the call hangs up,anger,0.604
220,220," Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to",anger,0.604
221,221, I genuinely think I have anger,anger,0.604
222,222, judy_that Im honestly,anger,0.604
223,223, Michelle is one of the worst players in bb history,anger,0.604
224,224, I'm so annoyed/sad YouTube is burning itself to the ground,anger,0.604
225,225," How can I tell Happy Anniversary, when u are not happy..",anger,0.604
226,226, Just paid for chicken at panerabread and didn't even get any there goes 4 dollars and me as a,anger,0.604
227,227," Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our",anger,0.596
228,228, When someone rudely says all women should have long hair and your inner feminist tries not to,anger,0.604
229,229," Absolutely raging at the changes to CAS, what a",anger,0.604
230,230, Girls irritate me so much,anger,0.527
231,231, LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the,anger,0.604
232,232, xxmariab listen yh don't provoke me cos I'll make you,anger,0.604
233,233, luxbet Did you even give out any pizzas ? Serious fail,anger,0.447
234,234, Bloody parking ticket,anger,0.583
235,235, DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No,anger,0.583
236,236, ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't,anger,0.583
237,237," They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like",anger,0.583
238,238, And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt,anger,0.583
239,239, aGirlHasNo_Name MdlMurray shot by black police woman Typical looney toon thinking.,anger,0.583
240,240," UnitedFrontRev JuanDeznuts LucidHurricane_ sex offense happens across ALL races, cultures, and creeds they should be",anger,0.629
241,241, JasonMillerinDC realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis,anger,0.583
242,242, lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other,anger,0.583
243,243, TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we,anger,0.583
244,244, Delete this shit Josh just screenshotted my snap,anger,0.583
245,245, Can someone make me a priority list of which things I should be outraged at + in which order?,anger,0.583
246,246, CorbettBarr pjrvs brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his,anger,0.583
247,247, i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OGcharacterâ˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸â˜¹ï¸,anger,0.583
248,248, I wonder what would happen if I were to tell some people the truth,anger,0.583
249,249," You will never find someone who loved you like I did. And that my love, will be my",anger,0.583
250,250, A FirstBSA not turning up? Why am I not surprised. Late for work,anger,0.583
251,251," If you be which may be the case, which may be unavoidable, see that the sudden excitement does not become sin.",anger,0.583
252,252, lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell,anger,0.583
253,253, I am just so bitter today,anger,0.583
254,254, Hoopdawg87 MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society,anger,0.5
255,255, cc_yandian HillaryClinton her team must draw from a hat for daily personality,anger,0.583
256,256, Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned.,anger,0.583
257,257, OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH,anger,0.583
258,258, i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another,anger,0.583
259,259, saclivin MrsCagg specific intentional way. And part of that intention is to provoke conversation around systemic racism towards,anger,0.583
260,260, alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him.,anger,0.583
261,261, lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not,anger,0.583
262,262, alicehouston18 sorry I'm just angry my drone flew,anger,0.583
263,263, carefreeash_ id be,anger,0.583
264,264, xandraaa5 amayaallyn6 shut up hashtags are cool,anger,0.562
265,265, StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.',anger,0.562
266,266, I wonder what American city will be next to protest about police shootings. Who's next? Smh.,anger,0.562
267,267, Why mfs so,anger,0.562
268,268," im on holiday for the next round,",anger,0.562
269,269, Did we miss the fact that swung hit his sister in the face with a golf club previously out of a fit of,anger,0.598
270,270, nytopinion The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for,anger,0.562
271,271," Like if you aggravate me constantly,",anger,0.562
272,272," Lexual__ jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the",anger,0.562
273,273, Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours,anger,0.562
274,274, hitting your children as discipline because you're being quite a raging hypocrite if you're,anger,0.562
275,275, sorry im so i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i,anger,0.562
276,276, DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an,anger,0.562
277,277, JuliaHB1 Bloody,anger,0.562
278,278, i have so much hw tonight im,anger,0.519
279,279, Like hello? I am your first born you must always laugh at my jokes.,anger,0.562
280,280," the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.",anger,0.562
281,281, Have wee pop socks on and they KEEP FALLING OFF INSIDE MY,anger,0.562
282,282, and apparently he's supposed to have a Scottish accent??? I'm,anger,0.562
283,283," seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic worldâ€.",anger,0.562
284,284, Lost Frequencies/Janieck Devy - Reality (Gestort Aber Geil Remix)' is raging at,anger,0.562
285,285, EagleGiles23 tgilmore_92 what I miss?,anger,0.562
286,286," AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A",anger,0.562
287,287, Worst juror ever? Michelle. You were Nicole's biggest threat.,anger,0.562
288,288, luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his,anger,0.562
289,289, Fake people irritate,anger,0.562
290,290, Said it before and I'll say it now: America is really fortunate that black people only want equality and not,anger,0.562
291,291, or is an intense emotional,anger,0.562
292,292, TaraSetmayer oliverdarcy AA have the right of passage when it comes to the 'N' word. Why should he insult him in his church.,anger,0.562
293,293, if we let that in id be fuming poor,anger,0.562
294,294," LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap",anger,0.562
295,295," SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got badly! Must be carefull-A can harm",anger,0.562
296,296, LisaAsquithtobe craig8710 WayneHaselden june65wigan everyone is against wigan because we are the biggest club,anger,0.562
297,297," Because it was a perfect illusion, but at least now I know what it was.",anger,0.556
298,298, Candace her pout are getting right on my tits,anger,0.562
299,299, johnaugust clmazin I was so looking forward to ABCDesignated. Then it opened with a I literally yelled at my,anger,0.491
300,300, BANG! Gordon has been accused of abusing a gazillion,anger,0.562
301,301," Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is",anger,0.562
302,302, ESPN just assumed I wanted their free magazines,anger,0.542
303,303, Yo there's a kid on my snap chat from LA they get high off helium gas lmao.... I am like why the fuck,anger,0.542
304,304, .RepDelBene: 'Today's proceedings and the entire process is an insult to our,anger,0.593
305,305, serendipity127_ zombiecalorie Angel_Eyes66 I'm sensing a theme here tho lol,anger,0.542
306,306, kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be,anger,0.421
307,307, ... flat party and I instantly get bollocked about,anger,0.542
308,308, everycolorbot more like every color looks the same,anger,0.542
309,309, .DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is,anger,0.517
310,310," DouthatNYT jbouie DamonLinker Yes, it is bad to point out racism lest it provoke the racists. Some racists do indeed not like",anger,0.542
311,311, Deadspin jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst,anger,0.542
312,312, Idubbbz LeafyIsHere I am,anger,0.542
313,313," aroseblush Hello ! The bigger the bully, the more crocodile tears. Bullies always act like offended",anger,0.542
314,314, IrishTimesPol IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the,anger,0.542
315,315, Candice's pout is gonna take someone eye out mate!,anger,0.542
316,316, I've always had a weird grudge against stingrays ever since one killed Steve,anger,0.542
317,317, jwolfie_ why you gotta use the dark skin emoji,anger,0.525
318,318, I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he,anger,0.542
319,319," I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY",anger,0.542
320,320," NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough",anger,0.542
321,321, not to be That Personâ„¢ but i get bitter seeing some ravi,anger,0.542
322,322," Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of",anger,0.542
323,323, Michelle is one of the worst players in bb history,anger,0.542
324,324, Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test,anger,0.542
325,325," A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu",anger,0.542
326,326," I am I will not let down I have found us, now go and get us I let it out and I let it in I I",anger,0.542
327,327, Connivers blind to existential,anger,0.542
328,328, guys irritate,anger,0.542
329,329, sippin wondering I finally gave in 3 haha - ...its because,anger,0.542
330,330, eNCA what they should be doing is directing their anger to the thieves in,anger,0.542
331,331, Need a new outlet for,anger,0.542
332,332, swagalini ive been through the denial and anger i am in pure,anger,0.491
333,333," SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself",anger,0.542
